"Time [ms]","CPU usage [%]","GC activity [%]","Size [B]","Used [B]","Size [B]","Used [B]","Total loaded","Shared loaded","Live","Daemon"
"21:23:25.732, 24 Nov 2020","0.0","0.0","67,108,896","47,525,544","53,035,008","50,992,520","10,816","1,159","31","27"
"21:23:26.734, 24 Nov 2020","0.1","0.0","67,108,896","47,525,544","53,035,008","50,992,520","10,816","1,159","31","27"
"21:23:27.736, 24 Nov 2020","0.3","0.0","67,108,896","48,574,120","53,035,008","50,992,520","10,816","1,159","31","27"
"21:23:28.737, 24 Nov 2020","0.3","0.0","67,108,896","48,574,120","53,035,008","50,992,520","10,816","1,159","31","27"
"21:23:29.738, 24 Nov 2020","0.5","0.0","67,108,896","48,574,120","53,035,008","50,992,520","10,816","1,159","31","27"
"21:23:30.740, 24 Nov 2020","0.0","0.0","67,108,896","48,574,120","53,035,008","50,992,520","10,816","1,159","31","27"
"21:23:31.740, 24 Nov 2020","0.0","0.0","67,108,896","48,574,120","53,035,008","50,992,520","10,816","1,159","31","27"
"21:23:32.746, 24 Nov 2020","0.0","0.0","67,108,896","49,622,696","53,035,008","50,992,520","10,816","1,159","31","27"
"21:23:33.751, 24 Nov 2020","0.3","0.0","67,108,896","49,622,696","53,035,008","50,992,520","10,816","1,159","31","27"
"21:23:34.754, 24 Nov 2020","0.1","0.0","67,108,896","49,622,696","53,035,008","50,992,520","10,816","1,159","31","27"
"21:23:35.759, 24 Nov 2020","0.9","0.0","67,108,896","51,719,848","53,035,008","50,992,520","10,849","1,159","31","27"
"21:23:36.762, 24 Nov 2020","0.0","0.0","67,108,896","51,719,848","53,035,008","50,992,520","10,849","1,159","31","27"
"21:23:37.764, 24 Nov 2020","0.0","0.0","67,108,896","52,768,424","53,035,008","50,992,520","10,849","1,159","31","27"
"21:23:38.768, 24 Nov 2020","0.0","0.0","67,108,896","52,768,424","53,035,008","50,992,520","10,849","1,159","31","27"
"21:23:39.770, 24 Nov 2020","0.3","0.0","67,108,896","52,768,424","53,035,008","50,992,520","10,849","1,159","31","27"
"21:23:40.777, 24 Nov 2020","0.1","0.0","67,108,896","52,768,424","53,035,008","50,992,520","10,849","1,159","31","27"
"21:23:41.781, 24 Nov 2020","0.7","0.0","67,108,896","52,768,424","53,035,008","50,992,520","10,849","1,159","31","27"
"21:23:42.785, 24 Nov 2020","0.0","0.0","67,108,896","52,768,424","53,035,008","50,992,520","10,849","1,159","31","27"
"21:23:43.786, 24 Nov 2020","0.1","0.0","67,108,896","53,817,000","53,035,008","50,992,520","10,849","1,159","31","27"
"21:23:44.789, 24 Nov 2020","0.0","0.0","67,108,896","53,817,000","53,035,008","50,992,520","10,849","1,159","31","27"
"21:23:45.790, 24 Nov 2020","0.1","0.0","67,108,896","53,817,000","53,035,008","50,992,520","10,849","1,159","31","27"
"21:23:46.794, 24 Nov 2020","0.1","0.0","67,108,896","53,817,000","53,035,008","50,992,520","10,849","1,159","31","27"
"21:23:47.796, 24 Nov 2020","0.1","0.0","67,108,896","54,865,576","53,035,008","50,992,520","10,849","1,159","31","27"
"21:23:48.798, 24 Nov 2020","0.0","0.0","67,108,896","54,865,576","53,035,008","50,992,520","10,849","1,159","31","27"
"21:23:49.801, 24 Nov 2020","0.1","0.0","67,108,896","54,865,576","53,035,008","50,992,520","10,849","1,159","31","27"
"21:23:50.802, 24 Nov 2020","0.0","0.0","67,108,896","55,914,152","53,035,008","50,992,520","10,849","1,159","31","27"
"21:23:51.805, 24 Nov 2020","0.0","0.0","67,108,896","55,914,152","53,035,008","50,992,520","10,849","1,159","31","27"
"21:23:52.805, 24 Nov 2020","0.0","0.0","67,108,896","55,914,152","53,035,008","50,992,520","10,849","1,159","31","27"
"21:23:53.811, 24 Nov 2020","0.0","0.0","67,108,896","55,914,152","53,035,008","50,992,520","10,849","1,159","31","27"
"21:23:54.813, 24 Nov 2020","0.3","0.0","67,108,896","55,914,152","53,035,008","50,992,520","10,849","1,159","31","27"
"21:23:55.816, 24 Nov 2020","0.1","0.0","67,108,896","19,345,872","53,297,152","51,203,520","10,849","1,159","31","27"
"21:23:56.820, 24 Nov 2020","0.0","0.0","67,108,896","19,345,872","53,297,152","51,203,520","10,849","1,159","31","27"
"21:23:57.825, 24 Nov 2020","0.7","0.0","67,108,896","19,345,872","53,297,152","51,203,520","10,849","1,159","31","27"
"21:23:58.845, 24 Nov 2020","0.0","0.0","67,108,896","20,394,448","53,297,152","51,203,520","10,849","1,159","31","27"
"21:23:59.834, 24 Nov 2020","0.0","0.0","67,108,896","20,394,448","53,297,152","51,203,520","10,849","1,159","31","27"
"21:24:00.837, 24 Nov 2020","0.0","0.0","67,108,896","20,394,448","53,297,152","51,203,520","10,849","1,159","31","27"
"21:24:01.840, 24 Nov 2020","0.1","0.0","67,108,896","20,394,448","53,297,152","51,203,520","10,849","1,159","31","27"
"21:24:02.843, 24 Nov 2020","0.0","0.0","67,108,896","20,394,448","53,297,152","51,203,520","10,849","1,159","31","27"
"21:24:03.844, 24 Nov 2020","0.1","0.0","67,108,896","21,443,024","53,297,152","51,203,520","10,849","1,159","31","27"
"21:24:04.869, 24 Nov 2020","0.1","0.0","67,108,896","21,443,024","53,297,152","51,203,520","10,849","1,159","31","27"
"21:24:05.851, 24 Nov 2020","0.2","0.0","67,108,896","21,443,024","53,297,152","51,203,520","10,849","1,159","31","27"
"21:24:06.854, 24 Nov 2020","0.3","0.0","67,108,896","21,443,024","53,297,152","51,203,520","10,849","1,159","31","27"
"21:24:07.856, 24 Nov 2020","0.0","0.0","67,108,896","21,443,024","53,297,152","51,203,520","10,849","1,159","31","27"
"21:24:08.860, 24 Nov 2020","0.1","0.0","67,108,896","21,443,024","53,297,152","51,203,520","10,849","1,159","31","27"
"21:24:09.862, 24 Nov 2020","0.1","0.0","67,108,896","22,491,600","53,297,152","51,203,520","10,849","1,159","31","27"
"21:24:10.863, 24 Nov 2020","0.1","0.0","67,108,896","22,491,600","53,297,152","51,203,520","10,849","1,159","31","27"
"21:24:11.866, 24 Nov 2020","0.1","0.0","67,108,896","22,491,600","53,297,152","51,203,520","10,849","1,159","31","27"
"21:24:12.866, 24 Nov 2020","0.1","0.0","67,108,896","22,491,600","53,297,152","51,203,520","10,849","1,159","31","27"
"21:24:13.867, 24 Nov 2020","0.0","0.0","67,108,896","23,540,176","53,297,152","51,203,520","10,849","1,159","31","27"
